"ensembl_tr_id","GSM4223714","GSM4223715","GSM4223716","GSM4223717","GSM4223718","GSM4223719","GSM4223720","GSM4223721","GSM4223722","GSM4223723","GSM4223724","GSM4223725"
"ENSMUST00000182612",0,0,0,0,0,0,0,13.478,5.823,4.753,2.031,8.333
"ENSMUST00000197002",18.948,12,11,13.913,0,0,0,0,0,0,0,1
"ENSMUST00000057145",0,2,2,3,1,3,0,3,0,0,0,1
"ENSMUST00000164267",0,0,0,0,3,3,5,9,8,7,5,4
"ENSMUST00000023869",283.916,314.193,275.007,322.003,173.012,150,204.779,192,168,173,217.001,189.001
"ENSMUST00000166983",27,42,23.815,45,20,22,48,34,29,28,26,48
"ENSMUST00000197673",573.533,560.236,591.045,671.501,205.463,221.14,272.037,271.553,252.396,253.626,237.505,205.564
"ENSMUST00000000939",401.535,300,365,394.494,411.007,474.012,404.404,430.001,324.005,319.008,472,497.003
"ENSMUST00000040967",207.63,82,286,148.506,3,7,17,37,5,5,12,17
"ENSMUST00000199741",6,0,8,1,0,0,0,0,0,0,0,0
"ENSMUST00000031354",40,43,31,31,126,113,165,158,159,133,95,89
"ENSMUST00000126970",20.979,18.6,38.331,28.373,21.724,24.063,28.546,54.199,17.703,14.414,29.837,24.707
"ENSMUST00000024470",113,61,119,42,30,28,40,30,29,27.743,63,57
